Levenshtein Distance,Primary Movie,Secondary Movie
27.0,Toy Story,Always Tell Your Wife
17.0,Toy Story,Number Thirteen
35.0,Toy Story,Woman to Woman
30.0,Toy Story,The Passionate Adventure
26.0,Toy Story,The Blackguard
21.0,Toy Story,The Pleasure Garden
22.0,Toy Story,The Mountain Eagle
35.0,Toy Story,The Lodger: A Story of The London Fog
12.0,Toy Story,Downhill
30.0,Toy Story,Easy Virtue
24.0,Toy Story,The Ring
23.0,Toy Story,The Farmer's Wife
0.0,Toy Story,Champagne
26.0,Toy Story,Harmony Heaven
20.0,Toy Story,The Manxman
0.0,Toy Story,Blackmail
17.0,Toy Story,Elstree Calling
21.0,Toy Story,Juno And The Paycock
13.0,Toy Story,Murder!
27.0,Toy Story,The Skin Game
32.0,Toy Story,Rich and Strange
24.0,Toy Story,Number Seventeen
21.0,Toy Story,Lord Camber's Ladies
14.0,Toy Story,Waltzes From Vienna
24.0,Toy Story,The Man Who Knew Too Much
38.0,Toy Story,The 39 Steps
19.0,Toy Story,Secret Agent
24.0,Toy Story,Sabotage
22.0,Toy Story,Young and Innocent
23.0,Toy Story,The Lady Vanishes
10.0,Toy Story,Jamaica Inn
0.0,Toy Story,Rebecca
27.0,Toy Story,Foreign Correspondent
22.0,Toy Story,Mr.~and Mrs.~Smith
22.0,Toy Story,Suspicion
35.0,Toy Story,Saboteur
23.0,Toy Story,Shadow of a Doubt
24.0,Toy Story,Lifeboat
21.0,Toy Story,Spellbound
44.0,Toy Story,Notorious
23.0,Toy Story,The Paradine Case
15.0,Toy Story,Rope
25.0,Toy Story,Under Capricorn
29.0,Toy Story,Stage Fright
28.0,Toy Story,Strangers on a Train
22.0,Toy Story,I Confess
23.0,Toy Story,Dial M for Murder
20.0,Toy Story,Rear Window
32.0,Toy Story,To Catch a Thief
39.0,Toy Story,The Trouble with Harry
27.0,Toy Story,The Wrong Man
25.0,Toy Story,Vertigo
37.0,Toy Story,North by Northwest
27.0,Toy Story,Psycho
33.0,Toy Story,The Birds
13.0,Toy Story,Marnie
38.0,Toy Story,Torn Curtain
29.0,Toy Story,Topaz
27.0,Toy Story,Frenzy
30.0,Toy Story,Family Plot
15.0,Toy Story,Aventure Malgache
42.0,Toy Story,Bon Voyage
0.0,Toy Story,Revenge
11.0,Toy Story,Breakdown
26.0,Toy Story,The Case of Mr.~Pelham
22.0,Toy Story,Back For Christmas
48.0,Toy Story,Wet Saturday
19.0,Toy Story,Mr.~Blanchhard's Secret
29.0,Toy Story,One More Mile To Go
29.0,Toy Story,Four O'Clock
31.0,Toy Story,The Perfect Crime
40.0,Toy Story,Lamb To The Slaughter
23.0,Toy Story,A Dip In The Pool
27.0,Toy Story,Poison
26.0,Toy Story,Banquo's Chair
27.0,Toy Story,Arthur
30.0,Toy Story,The Crystal Trench
28.0,Toy Story,Incident At A Corner
19.0,Toy Story,Mrs.~Bixby And The Colonel's Coat
42.0,Toy Story,The Horseplayer
23.0,Toy Story,Bang! You're Dead
20.0,Toy Story,I Saw The Whole Thing
25.0,Toy Story,The Edison Kinetopic Record of A Sneeze
29.0,Toy Story,"Terrible Teddy, the Grizzly King"
14.0,Toy Story,La Premiere Seance du Salon Indien au Grand Caf\'e
21.0,Toy Story,La Sortie des Usines Lumi\`ere
12.0,Toy Story,Arriv\'ee d'un train en G\^are de la Ciatat
20.0,Toy Story,Le Gouter de B\'eb\'e
21.0,Toy Story,L'Arroseur arross\'e
25.0,Toy Story,Barque Quittant le Port
13.0,Toy Story,Boules
5.0,Toy Story,L'assissinatat du Duc de Guise
13.0,Toy Story,Jack and the Beanstalk
23.0,Toy Story,Uncle Tom's Cabin
